"","X","CH","Phase","Slope","R2","RMSE.lm","RMSE.lo","Mass.g","Temp.C","sec","CHvol.mL","Tubevol.mL","Resp.DOY","Type","O2.mg_h","PreSec","PostSec","MO2.Cor","corO2.mg_h","MO2","Ex"
"11",11,2,"M3",-0.000327352232761638,0.977475073357407,0.00572367628277803,0.00463962174256612,0.289,18.3167669172932,47171,16.128,0.812,192,"SMR",0.0196226712997705,38263,68935,-1.18955505249962e-08,0.0197286368638472,0.0682651794596789,"DF"
"12",12,2,"M4",-0.000303784324562692,0.977103220075015,0.00535627975233731,0.00454804630517884,0.289,18.374962406015,48401,16.128,0.812,192,"SMR",0.0182099260378562,38263,68935,-1.18955505249962e-08,0.0183305231290786,0.0634274156715523,"DF"
"13",13,2,"M5",-0.000313444268192695,0.977383656499699,0.00549186560391046,0.00438925861433127,0.289,18.4171428571429,49631,16.128,0.812,192,"SMR",0.0187889778348356,38263,68935,-1.18955505249962e-08,0.0189242064532038,0.0654816832290788,"DF"
"14",14,2,"M6",-0.000299716253731067,0.980719912725238,0.00484031031356682,0.0043489728612519,0.289,18.4567669172932,50861,16.128,0.812,192,"SMR",0.0179660712271536,38263,68935,-1.18955505249962e-08,0.0181159313726675,0.0626848836424481,"DF"
"15",15,2,"M7",-0.000298729452871714,0.977352357297937,0.00523775128591169,0.0041866079464859,0.289,18.4972932330827,52091,16.128,0.812,192,"SMR",0.0179069188311609,38263,68935,-1.18955505249962e-08,0.0180714105038205,0.0625308321931507,"DF"
"16",16,2,"M8",-0.000288719502890116,0.982813437732933,0.00439760274433504,0.00413315235945592,0.289,18.5365914786967,53321,16.128,0.812,192,"SMR",0.0173068863934439,38263,68935,-1.18955505249962e-08,0.0174860095932493,0.060505223506053,"DF"
"17",17,3,"M1",-0.000457604667253339,0.982218313973776,0.00709175639571435,0.00516615842256721,0.354,18.2109273182957,44711,16.128,1.091,192,"SMR",0.0277830097676192,38263,68935,2.0466497211236e-09,0.0277698129702174,0.0784457993508966,"DF"
"18",18,3,"M2",-0.00043911752715712,0.98501467403722,0.00623840301456645,0.00488623947446771,0.354,18.2656140350877,45941,16.128,1.091,192,"SMR",0.0266605815438174,38263,68935,2.0466497211236e-09,0.0266448673672586,0.0752679869131598,"DF"
"19",19,3,"M3",-0.000386618087954957,0.944166333082078,0.0108289636987299,0.00569198447551067,0.354,18.3167669172932,47171,16.128,1.091,192,"SMR",0.0234731305920973,38263,68935,2.0466497211236e-09,0.0234548990363815,0.0662567769389308,"DF"
"20",20,3,"M4",-0.000423322006774028,0.985420835171324,0.00593071709115021,0.00498739429451605,0.354,18.374962406015,48401,16.128,1.091,192,"SMR",0.0257015723192784,38263,68935,2.0466497211236e-09,0.0256808233844056,0.0725446988260045,"DF"
"21",21,3,"M5",-0.000413499499872011,0.930713476225574,0.0129948802697115,0.00493221903919206,0.354,18.4171428571429,49631,16.128,1.091,192,"SMR",0.0251052086352293,38263,68935,2.0466497211236e-09,0.0250819423211995,0.0708529444101682,"DF"
"22",22,3,"M6",-0.000436056111695938,0.987057868049308,0.0057511525949784,0.0053556133501204,0.354,18.4567669172932,50861,16.128,1.091,192,"SMR",0.0264747107655072,38263,68935,2.0466497211236e-09,0.0264489270723205,0.0747144832551426,"DF"
"23",23,3,"M7",-0.000374421791534216,0.969448900456315,0.00765584244237845,0.00478579142346648,0.354,18.4972932330827,52091,16.128,1.091,192,"SMR",0.0227326446512084,38263,68935,2.0466497211236e-09,0.0227043435788647,0.0641365637821036,"DF"
"24",24,3,"M8",-0.000422868117366665,0.980287406453964,0.00690686588110156,0.00507766779323818,0.354,18.5365914786967,53321,16.128,1.091,192,"SMR",0.0256740148777997,38263,68935,2.0466497211236e-09,0.025643196426299,0.0724384079838955,"DF"
"25",25,4,"M1",-0.000317135173071139,0.936692507120735,0.0094962984405298,0.00465630506937171,0.3963,18.2109273182957,44711,16.128,1.076,192,"SMR",0.01918912625434,38263,68935,-1.73170283983707e-08,0.0193007864534527,0.0487024639249374,"DF"
"26",26,4,"M2",-0.000268609739598954,0.963755936297924,0.00599981105627715,0.00431015771421445,0.3963,18.2656140350877,45941,16.128,1.076,192,"SMR",0.0162529629129264,38263,68935,-1.73170283983707e-08,0.0163859230569691,0.0413472698888951,"DF"
"27",27,4,"M3",-0.000318737941498299,0.969126780394985,0.00655262532285024,0.00392822037703151,0.3963,18.3167669172932,47171,16.128,1.076,192,"SMR",0.0192861061175555,38263,68935,-1.73170283983707e-08,0.0194403662065281,0.049054671225153,"DF"
"28",28,4,"M4",-0.000421624197416544,0.988426024566729,0.00525503518879087,0.00444940538250507,0.3963,18.374962406015,48401,16.128,1.076,192,"SMR",0.025511518882505,38263,68935,-1.73170283983707e-08,0.0256870789164076,0.064817256917506,"DF"
"29",29,4,"M5",-0.000464427938727351,0.989824029633305,0.00542385620148685,0.00442670148948249,0.3963,18.4171428571429,49631,16.128,1.076,192,"SMR",0.0281014756766917,38263,68935,-1.73170283983707e-08,0.0282983356555244,0.0714063478564835,"DF"
"30",30,4,"M6",-0.000488560905497545,0.989598187833856,0.00576932066887032,0.00461353148301662,0.3963,18.4567669172932,50861,16.128,1.076,192,"SMR",0.0295617064727919,38263,68935,-1.73170283983707e-08,0.0297798663965546,0.0751447549749043,"DF"
"31",31,4,"M7",-0.000485031946099348,0.988460744618438,0.00603615567379564,0.00507335452314952,0.3963,18.4972932330827,52091,16.128,1.076,192,"SMR",0.0293481771856345,38263,68935,-1.73170283983707e-08,0.0295876370543271,0.0746596948128366,"DF"
"32",32,4,"M8",-0.000510017832050275,0.989712812921614,0.00598907831476738,0.00514898630780769,0.3963,18.5365914786967,53321,16.128,1.076,192,"SMR",0.030860016176705,38263,68935,-1.73170283983707e-08,0.0311207759903277,0.0785283270005746,"DF"
"33",33,6,"M1",-0.000240427266424032,0.927897350797845,0.00771951954110216,0.00718902216622743,0.2909,18.1589724310777,44711,16.128,0.768,192,"SMR",0.0143723476861117,38263,68935,-1.16031478634977e-07,0.01512051866035,0.0519784072201789,"CUE"
"34",34,6,"M2",-0.000223170925355116,0.925708267607166,0.00728201710062223,0.0069602860127662,0.2909,18.2126315789474,45941,16.128,0.768,192,"SMR",0.0133407919174112,38263,68935,-1.16031478634977e-07,0.0142316816103706,0.0489229343773482,"CUE"
"35",35,6,"M3",-0.000252203947212013,0.915802070711807,0.00880810905122397,0.00739215758126913,0.2909,18.2640350877193,47171,16.128,0.768,192,"SMR",0.0150763383498607,38263,68935,-1.16031478634977e-07,0.0161099467615411,0.0553796726075664,"CUE"
"36",36,6,"M4",-0.000208175158727593,0.881230469184111,0.00880273405234237,0.00762088876248121,0.2909,18.3220551378446,48401,16.128,0.768,192,"SMR",0.0124443695814752,38263,68935,-1.16031478634977e-07,0.0136206967118766,0.0468226081535805,"CUE"
"37",37,6,"M5",-0.000212776663355743,0.919213897226245,0.00726549052848024,0.00691845269952713,0.2909,18.3648621553885,49631,16.128,0.768,192,"SMR",0.0127194399816784,38263,68935,-1.16031478634977e-07,0.0140384858308008,0.0482588031309756,"CUE"
"38",38,6,"M6",-0.000223428347452801,0.925704914374592,0.00729059445861441,0.00673659013380822,0.2909,18.4039598997494,50861,16.128,0.768,192,"SMR",0.0133561801882386,38263,68935,-1.16031478634977e-07,0.014817944756082,0.0509382769201857,"CUE"
"39",39,6,"M7",-0.000212256532856458,0.94499700389793,0.00589820594034609,0.00573069283491574,0.2909,18.4448621553885,52091,16.128,0.768,192,"SMR",0.0126883474334452,38263,68935,-1.16031478634977e-07,0.0142928307200096,0.0491331410106897,"CUE"
"40",40,6,"M8",-0.000232788177760269,0.930186368222336,0.00734559465784997,0.00666093900697039,0.2909,18.4840100250627,53321,16.128,0.768,192,"SMR",0.0139156954938974,38263,68935,-1.16031478634977e-07,0.0156628974991828,0.0538428927438393,"CUE"
"41",41,7,"M1",-0.000382655112252677,0.967038987312737,0.00813704485396257,0.006218824210796,0.3417,18.1589724310777,44711,16.128,0.818,192,"SMR",0.0228733930093576,38263,68935,-1.22220078549511e-07,0.0236614680758449,0.0692463215564673,"CUE"
"42",42,7,"M2",-0.000370137296482559,0.978624634013201,0.00630075314773609,0.00560575213278133,0.3417,18.2126315789474,45941,16.128,0.818,192,"SMR",0.0221251345631473,38263,68935,-1.22220078549511e-07,0.0230635403262504,0.0674964598368465,"CUE"
"43",43,7,"M3",-0.000372254645567268,0.978188252740512,0.00640258041469217,0.00626656264172548,0.3417,18.2640350877193,47171,16.128,0.818,192,"SMR",0.0222517001210133,38263,68935,-1.22220078549511e-07,0.0233404365807324,0.0683068088403055,"CUE"
"44",44,7,"M4",-0.000432313226161061,0.98831607718259,0.0054140946113063,0.00522088973077781,0.3417,18.3220551378446,48401,16.128,0.818,192,"SMR",0.025841730604126,38263,68935,-1.22220078549511e-07,0.027080797760461,0.0792531394804242,"CUE"
"45",45,7,"M5",-0.000374372849801844,0.980079398724634,0.00614760344479016,0.0059450498035032,0.3417,18.3648621553885,49631,16.128,0.818,192,"SMR",0.0223783167958731,38263,68935,-1.22220078549511e-07,0.023767714648824,0.0695572568007725,"CUE"
"46",46,7,"M6",-0.00031547026697651,0.969010172149391,0.00649807554189617,0.00598193931707881,0.3417,18.4039598997494,50861,16.128,0.818,192,"SMR",0.0188573866342491,38263,68935,-1.22220078549511e-07,0.0203971151838158,0.0596930499965344,"CUE"
"47",47,7,"M7",-0.000397645881100963,0.980429527418634,0.0064709770908619,0.00581884853827476,0.3417,18.4448621553885,52091,16.128,0.818,192,"SMR",0.023769473412833,38263,68935,-1.22220078549511e-07,0.0254595326590156,0.0745084362277308,"CUE"
"48",48,7,"M8",-0.000388536415831421,0.984259825104015,0.00565929764413938,0.00558557517274678,0.3417,18.4840100250627,53321,16.128,0.818,192,"SMR",0.0232249507538028,38263,68935,-1.22220078549511e-07,0.0250653406966013,0.073354816203106,"CUE"
"49",49,8,"M1",-0.000545540750556705,0.990979775789384,0.0059949335862074,0.00555418107339218,0.3897,18.1589724310777,44711,16.128,0.949,192,"SMR",0.0327729678003536,38263,68935,-1.18197647160044e-07,0.0335351062292416,0.086053646982914,"CUE"
"50",50,8,"M2",-0.000622079131530267,0.992845517648876,0.00608239765291726,0.00588176508624771,0.3897,18.2126315789474,45941,16.128,0.949,192,"SMR",0.0373709559297061,38263,68935,-1.18197647160044e-07,0.0382784774646009,0.0982255002940747,"CUE"
"51",51,8,"M3",-0.000632658719418205,0.994789982754387,0.00527356478161361,0.00485317207163059,0.3897,18.2640350877193,47171,16.128,0.949,192,"SMR",0.0380065170547707,38263,68935,-1.18197647160044e-07,0.0390594216956724,0.10022946290909,"CUE"
"52",52,8,"M4",-0.000653696196044456,0.991411809436985,0.00700778321848737,0.0052114052593221,0.3897,18.3220551378446,48401,16.128,0.949,192,"SMR",0.0392703283161096,38263,68935,-1.18197647160044e-07,0.0404686160630181,0.103845563415494,"CUE"
"53",53,8,"M6",-0.000687409627833037,0.99366074975422,0.00632406608684934,0.00529502523073916,0.3897,18.4039598997494,50861,16.128,0.949,192,"SMR",0.0412956384571376,38263,68935,-1.18197647160044e-07,0.0427846924160599,0.109788792445625,"CUE"
"54",54,8,"M7",-0.000636544349424962,0.991704209660346,0.00670575035638625,0.00551656641529842,0.3897,18.4448621553885,52091,16.128,0.949,192,"SMR",0.038239943479773,38263,68935,-1.18197647160044e-07,0.0398743805447021,0.102320709634853,"CUE"
"55",55,8,"M8",-0.000617486629408822,0.987837278679562,0.00789189210567303,0.00563515954246763,0.3897,18.4840100250627,53321,16.128,0.949,192,"SMR",0.0370950646713618,38263,68935,-1.18197647160044e-07,0.0388748848422978,0.0997559272319676,"CUE"
"56",56,1,"M1",-0.000154736755032727,0.822436953746773,0.00828131643021603,0.00792977376680607,0.2707,18.5012781954887,55016,16.128,1.011,192,"Treat",0.0093965256177068,38263,68935,-1.32569558315978e-07,0.0116174634281744,0.0429163776437916,"DF"
"57",57,1,"M2",-0.000219764565263722,0.924378713019744,0.00723995123813852,0.00668072016068336,0.2707,18.5352130325815,56246,16.128,1.011,192,"Treat",0.013345396618457,38263,68935,-1.32569558315978e-07,0.0157293949856532,0.0581063723149361,"DF"
"58",58,1,"M3",-0.000215634297094304,0.917693336069655,0.0074381932366727,0.00691214520901824,0.2707,18.5544360902256,57676,16.128,1.011,192,"Treat",0.013094582449233,38263,68935,-1.32569558315978e-07,0.0156681552848211,0.0578801451230924,"DF"
"59",59,1,"M4",-0.000144871224063386,0.660119959907259,0.0119733157749596,0.008273058652877,0.2707,18.5820050125313,59106,16.128,1.011,192,"Treat",0.00879743256792628,38263,68935,-1.32569558315978e-07,0.0115605798719062,0.0427062426003185,"DF"
"60",60,1,"M5",-0.00010697276306628,0.757263526062593,0.00697586587943073,0.00653442955235892,0.2707,18.62335839599,60536,16.128,1.011,192,"Treat",0.00649601517323138,38263,68935,-1.32569558315978e-07,0.00944873694560316,0.0349048280221764,"DF"
"61",61,1,"M6",-0.000164751576877363,0.856539955169918,0.00776608530425445,0.00725574107053763,0.2707,18.6559649122807,61966,16.128,1.011,192,"Treat",0.0100046844872655,38263,68935,-1.32569558315978e-07,0.0131469807280292,0.0485666077873261,"DF"
"62",62,1,"M7",-0.000130256618030338,0.769717815695304,0.00820625687786578,0.00804108234105965,0.2707,18.6889473684211,63396,16.128,1.011,192,"Treat",0.00790994775571612,38263,68935,-1.32569558315978e-07,0.0112418184648716,0.0415286976906967,"DF"
"63",63,1,"M8",-0.000120189370113661,0.796424637193316,0.00699901998123633,0.00668630231892723,0.2707,18.7264912280702,64826,16.128,1.011,192,"Treat",0.00729860526679776,38263,68935,-1.32569558315978e-07,0.0108200504443451,0.0399706333370709,"DF"
"64",64,2,"M1",-0.000372618699376309,0.985772474189706,0.00515610676826689,0.00445395879531925,0.289,18.5012781954887,55016,16.128,0.812,192,"Treat",0.0223361062679337,38263,68935,-1.18955505249962e-08,0.022535392425879,0.0779771364217266,"DF"
"65",65,2,"M2",-0.000268921491629826,0.97920991061682,0.00451332594053409,0.00422266082833169,0.289,18.5352130325815,56246,16.128,0.812,192,"Treat",0.0161201223256617,38263,68935,-1.18955505249962e-08,0.0163340400107527,0.0565191695873795,"DF"
"66",66,2,"M3",-0.000304643571699776,0.981980340062312,0.0047532956312326,0.00445581808291681,0.289,18.5544360902256,57676,16.128,0.812,192,"Treat",0.0182614324045427,38263,68935,-1.18955505249962e-08,0.0184923607268845,0.0639874073594618,"DF"
"67",67,2,"M4",-0.000267498148914745,0.97684720751422,0.00474340339082271,0.00462698648213754,0.289,18.5820050125313,59106,16.128,0.812,192,"Treat",0.0160348020392859,38263,68935,-1.18955505249962e-08,0.0162827409988784,0.0563416643559806,"DF"
"68",68,2,"M5",-0.000295251485822509,0.976572061231794,0.00526729804215546,0.00470189416008688,0.289,18.62335839599,60536,16.128,0.812,192,"Treat",0.0176984369655501,38263,68935,-1.18955505249962e-08,0.0179633865623934,0.0621570469286968,"DF"
"69",69,2,"M6",-0.000300229746870441,0.985193063736425,0.00423942112425357,0.00390375515282607,0.289,18.6559649122807,61966,16.128,0.812,192,"Treat",0.017996851854503,38263,68935,-1.18955505249962e-08,0.0182788120885969,0.0632484847356296,"DF"
"70",70,2,"M7",-0.000278474037467413,0.975006439041462,0.00513541974527688,0.00469412295266943,0.289,18.6889473684211,63396,16.128,0.812,192,"Treat",0.0166927363123316,38263,68935,-1.18955505249962e-08,0.0169917071836763,0.0587948345455929,"DF"
"71",71,2,"M8",-0.000272342970690406,0.973801469785533,0.0051451771217711,0.00461660552545947,0.289,18.7264912280702,64826,16.128,0.812,192,"Treat",0.0163252180978774,38263,68935,-1.18955505249962e-08,0.0166411996064729,0.0575820055587298,"DF"
"72",72,3,"M1",-0.000515801663527414,0.988388530974434,0.00643937003753974,0.00479012898124495,0.354,18.5012781954887,55016,16.128,1.091,192,"Treat",0.0313163821994034,38263,68935,2.0466497211236e-09,0.0312820946766254,0.0883674990865125,"DF"
"73",73,3,"M2",-0.000366598290343,0.950545891700802,0.00963132387309998,0.0053158784806418,0.354,18.5352130325815,56246,16.128,1.091,192,"Treat",0.0222576485998849,38263,68935,2.0466497211236e-09,0.0222208436979499,0.0627707449094631,"DF"
"74",74,3,"M3",-0.000462213702955698,0.962936357482588,0.0104447724326715,0.00542547100376248,0.354,18.5544360902256,57676,16.128,1.091,192,"Treat",0.0280628427612523,38263,68935,2.0466497211236e-09,0.0280231111502161,0.0791613309328138,"DF"
"75",75,3,"M4",-0.000385890779680941,0.966253478645562,0.00830642754435662,0.00661134773799677,0.354,18.5820050125313,59106,16.128,1.091,192,"Treat",0.0234289727975486,38263,68935,2.0466497211236e-09,0.0233863144774113,0.0660630352469244,"DF"
"76",76,3,"M5",-0.000547932743911157,0.974370068251378,0.0102357559038494,0.00620945708331686,0.354,18.62335839599,60536,16.128,1.091,192,"Treat",0.033267188613822,38263,68935,2.0466497211236e-09,0.0332216035845834,0.0938463378095576,"DF"
"77",77,3,"M6",-0.00042496053932334,0.947206987786652,0.0115556741684765,0.00617615252995286,0.354,18.6559649122807,61966,16.128,1.091,192,"Treat",0.0258010541844773,38263,68935,2.0466497211236e-09,0.0257525424461375,0.0727472950455862,"DF"
"78",78,3,"M7",-0.0003594664391867,0.924279276658334,0.0118507279234696,0.00644987748194896,0.354,18.6889473684211,63396,16.128,1.091,192,"Treat",0.0218246453887813,38263,68935,2.0466497211236e-09,0.0217732069413403,0.0615062342975715,"DF"
"79",79,3,"M8",-0.000405838324150226,0.984341901032688,0.00589563373598862,0.00512372701836247,0.354,18.7264912280702,64826,16.128,1.091,192,"Treat",0.0246400680124568,38263,68935,2.0466497211236e-09,0.0245857028559146,0.0694511380110583,"DF"
"80",80,4,"M1",-0.000329264922310308,0.984365894945985,0.0047795235821422,0.00418730389189211,0.3963,18.5012781954887,55016,16.128,1.076,192,"Treat",0.0199230697249739,38263,68935,-1.73170283983707e-08,0.0202131819017318,0.0510047486796159,"DF"
"81",81,4,"M2",-0.00034856948964726,0.985611407212049,0.00485094755644274,0.00448246199828281,0.3963,18.5352130325815,56246,16.128,1.076,192,"Treat",0.0210911450801193,38263,68935,-1.73170283983707e-08,0.0214025572018072,0.0540059480237375,"DF"
"82",82,4,"M3",-0.000365546015614464,0.988312037505699,0.004578733064595,0.00414404217985858,0.3963,18.5544360902256,57676,16.128,1.076,192,"Treat",0.0221183559599156,38263,68935,-1.73170283983707e-08,0.0224545314322132,0.0566604376285975,"DF"
"83",83,4,"M4",-0.000353996652300987,0.985617741222372,0.00492537562597209,0.00475632327260145,0.3963,18.5820050125313,59106,16.128,1.076,192,"Treat",0.0214195303183655,38263,68935,-1.73170283983707e-08,0.0217804691412727,0.0549595486784576,"DF"
"84",84,4,"M5",-0.00029649502632757,0.984538453082697,0.00427965195279283,0.0040264185250337,0.3963,18.62335839599,60536,16.128,1.076,192,"Treat",0.0179402380344212,38263,68935,-1.73170283983707e-08,0.0183259402079381,0.0462425945191475,"DF"
"85",85,4,"M6",-0.000309322764713206,0.984513303098042,0.00446849623958009,0.00431777546745422,0.3963,18.6559649122807,61966,16.128,1.076,192,"Treat",0.0187164152368926,38263,68935,-1.73170283983707e-08,0.0191268807610191,0.0482636405778934,"DF"
"86",86,4,"M7",-0.000453979878577955,0.95680359852447,0.0111104051848869,0.00450878704068006,0.3963,18.6889473684211,63396,16.128,1.076,192,"Treat",0.0274692873786289,38263,68935,-1.73170283983707e-08,0.0279045162533652,0.0704126072504799,"DF"
"87",87,4,"M8",-0.000321023936434879,0.98540161683905,0.00450053422160355,0.00412806875225511,0.3963,18.7264912280702,64826,16.128,1.076,192,"Treat",0.0194244264590994,38263,68935,-1.73170283983707e-08,0.0198844186844453,0.0501751670059181,"DF"
"88",88,6,"M1",-0.000247728304874007,0.941832614536509,0.00709103205397616,0.00680880189334525,0.2909,18.4442355889724,55016,16.128,0.768,192,"Treat",0.0148087917909481,38263,68935,-1.16031478634977e-07,0.0167526671525199,0.0575890929959432,"CUE"
"89",89,6,"M2",-0.000226034083137813,0.931673912005252,0.00705043883860378,0.00695695845476797,0.2909,18.4745363408521,56246,16.128,0.768,192,"Treat",0.0135119467940821,38263,68935,-1.16031478634977e-07,0.0155985408743749,0.0536216599325365,"CUE"
"90",90,6,"M3",-0.000236096495423227,0.924993041851451,0.0077437619330265,0.00705917890599597,0.2909,18.492305764411,57676,16.128,0.768,192,"Treat",0.014113461298148,38263,68935,-1.16031478634977e-07,0.0163659803928888,0.0562598157197966,"CUE"
"91",91,6,"M4",-0.000242602951248831,0.9223630128714,0.00810700396512304,0.00780583749761467,0.2909,18.5183458646617,59106,16.128,0.768,192,"Treat",0.0145024065568151,38263,68935,-1.16031478634977e-07,0.0169208506660039,0.0581672418906974,"CUE"
"92",92,6,"M5",-0.000229469691269663,0.917900254342221,0.00790459094931467,0.0076914289708297,0.2909,18.5581203007519,60536,16.128,0.768,192,"Treat",0.0137173218138068,38263,68935,-1.16031478634977e-07,0.0163016909374436,0.056038813810394,"CUE"
"93",93,6,"M6",-0.000233554955804837,0.930660930362543,0.00734282638154876,0.00715892307291444,0.2909,18.5931328320802,61966,16.128,0.768,192,"Treat",0.0139615322278856,38263,68935,-1.16031478634977e-07,0.0167118263659705,0.0574486984048487,"CUE"
"94",94,6,"M7",-0.000284256249622875,0.948919865340184,0.00759630122446644,0.00738678851078884,0.2909,18.625313283208,63396,16.128,0.768,192,"Treat",0.0169923724222061,38263,68935,-1.16031478634977e-07,0.0199085915747389,0.0684379222232345,"CUE"
"95",95,6,"M8",-0.000253166749947904,0.93514351451034,0.00767936212308119,0.00720874772431455,0.2909,18.6617042606516,64826,16.128,0.768,192,"Treat",0.0151338931184158,38263,68935,-1.16031478634977e-07,0.0182160372853967,0.0626195850305833,"CUE"
"96",96,7,"M1",-0.000379422174609716,0.97807522177514,0.00654312313900807,0.00622097908960482,0.3417,18.4442355889724,55016,16.128,0.818,192,"Treat",0.0226801426099396,38263,68935,-1.22220078549511e-07,0.0247276955858795,0.0723666830139875,"CUE"
"97",97,7,"M2",-0.000347488246645442,0.981008540063521,0.00556882807421305,0.005345083910635,0.3417,18.4745363408521,56246,16.128,0.818,192,"Treat",0.0207712767375897,38263,68935,-1.22220078549511e-07,0.0229691604101455,0.0672202528830716,"CUE"
"98",98,7,"M3",-0.000352949983828365,0.977470596380554,0.00617187429088453,0.00555192394497479,0.3417,18.492305764411,57676,16.128,0.818,192,"Treat",0.0210977546993327,38263,68935,-1.22220078549511e-07,0.0234704130842144,0.0686871907644554,"CUE"
"99",99,7,"M4",-0.000337261302392674,0.979062786205109,0.00568069658548382,0.00537453484212787,0.3417,18.5183458646617,59106,16.128,0.818,192,"Treat",0.0201599562359473,38263,68935,-1.22220078549511e-07,0.0227073893331547,0.0664541683732944,"CUE"
"100",100,7,"M5",-0.000350167274983535,0.97759972378181,0.00610523825615611,0.00575335059541534,0.3417,18.5581203007519,60536,16.128,0.818,192,"Treat",0.0209314169424328,38263,68935,-1.22220078549511e-07,0.0236536247519661,0.0692233677259762,"CUE"
"101",101,7,"M6",-0.000356032979995555,0.982398533150017,0.00548910724940685,0.00535532388854718,0.3417,18.5931328320802,61966,16.128,0.818,192,"Treat",0.0212820422750647,38263,68935,-1.22220078549511e-07,0.0241790247969237,0.0707609739447578,"CUE"
"102",102,7,"M7",-0.00045429739214319,0.988176543818636,0.00572369001511973,0.00547909871307279,0.3417,18.625313283208,63396,16.128,0.818,192,"Treat",0.0271558446781074,38263,68935,-1.22220078549511e-07,0.0302276019122923,0.088462399509196,"CUE"
"103",103,7,"M8",-0.000521296711032439,0.986387830374378,0.00705351699342702,0.00623802838144307,0.3417,18.6617042606516,64826,16.128,0.818,192,"Treat",0.0311607611243853,38263,68935,-1.22220078549511e-07,0.034407293070896,0.100694448553983,"CUE"
"104",104,8,"M1",-0.000651879750527941,0.992474925819748,0.00653798651310564,0.00581872014335375,0.3897,18.4442355889724,55016,16.128,0.949,192,"Treat",0.0391612066595457,38263,68935,-1.18197647160044e-07,0.0411413718424179,0.105571906190449,"CUE"
"105",105,8,"M2",-0.000649939328574367,0.99251320761069,0.00650179801889285,0.00605442552155452,0.3897,18.4745363408521,56246,16.128,0.949,192,"Treat",0.0390446372077885,38263,68935,-1.18197647160044e-07,0.0411701854966676,0.105645844230607,"CUE"
"106",106,8,"M3",-0.000657414115631842,0.992126481435935,0.00674560396994092,0.00664646290856442,0.3897,18.492305764411,57676,16.128,0.949,192,"Treat",0.0394936796584197,38263,68935,-1.18197647160044e-07,0.0417882505827376,0.107231846504331,"CUE"
"107",107,8,"M4",-0.000603779818493314,0.990589995076982,0.0067780919777687,0.00534269145749464,0.3897,18.5183458646617,59106,16.128,0.949,192,"Treat",0.0362716378745166,38263,68935,-1.18197647160044e-07,0.0387352314342733,0.0993975659078095,"CUE"
